 ,time,force,units, ,x ,y ,z, 
b',34704,-0.178,kg,\r\n'b',1661, 3647,964,\r\n'
b',35089,-0.178,kg,\r\n'b',1554, 3739,1451,\r\n'
b',35474,-0.179,kg,\r\n'b',1771, 3643,859,\r\n'
b',35859,-0.178,kg,\r\n'b',1775, 3636,810,\r\n'
b',36244,-0.178,kg,\r\n'b',1711, 3674,1007,\r\n'
b',36629,-0.178,kg,\r\n'b',1677, 3733,1128,\r\n'
b',37014,-0.179,kg,\r\n'b',1710, 3788,1081,\r\n'
b',37399,-0.178,kg,\r\n'b',1748, 3777,1081,\r\n'
b',37784,-0.179,kg,\r\n'b',1711, 3765,980,\r\n'
b',38169,-0.179,kg,\r\n'b',1765, 3717,1064,\r\n'
b',38554,-0.179,kg,\r\n'b',1727, 3730,997,\r\n'
b',38939,-0.178,kg,\r\n'b',1662, 3770,1085,\r\n'
b',39324,-0.178,kg,\r\n'b',1736, 3662,131,\r\n'
b',39709,-0.179,kg,\r\n'b',1679, 3618,268,\r\n'
b',40094,-0.179,kg,\r\n'b',1655, 3425,399,\r\n'
b',40479,-0.178,kg,\r\n'b',1634, 3401,322,\r\n'
b',40864,-0.178,kg,\r\n'b',1731, 3731,989,\r\n'
b',41249,-0.179,kg,\r\n'b',1787, 3581,384,\r\n'
b',41634,-0.178,kg,\r\n'b',1629, 3614,559,\r\n'
b',42019,-0.178,kg,\r\n'b',1638, 3543,345,\r\n'
b',42404,-0.179,kg,\r\n'b',1620, 3551,495,\r\n'
b',42789,-0.179,kg,\r\n'b',1672, 3571,522,\r\n'
b',43174,-0.180,kg,\r\n'b',1697, 3389,411,\r\n'
b',43559,-0.180,kg,\r\n'b',1739, 3535,99,\r\n'
b',43944,-0.180,kg,\r\n'b',1614, 3532,215,\r\n'
b',44329,-0.180,kg,\r\n'b',1668, 3404,177,\r\n'
b',44715,-0.179,kg,\r\n'b',1641, 3521,352,\r\n'
b',45100,-0.179,kg,\r\n'b'ERROR positioning on ID 0x614E, error code: 0x0\r\n'
b',45485,-0.180,kg,\r\n'b',1775, 3746,1029,\r\n'
b',45870,-0.179,kg,\r\n'b',1667, 3412,235,\r\n'
b',46255,-0.180,kg,\r\n'b',1884, 3712,-181,\r\n'
b',46640,-0.180,kg,\r\n'b',1634, 3635,445,\r\n'
b',47025,-0.180,kg,\r\n'b',1684, 3510,337,\r\n'
b',47410,-0.179,kg,\r\n'b',1683, 3517,115,\r\n'
b',47795,-0.180,kg,\r\n'b',1643, 3557,548,\r\n'
b',48180,-0.180,kg,\r\n'b',1634, 3627,319,\r\n'
b',48565,-0.180,kg,\r\n'b',1627, 3625,400,\r\n'
b',48950,-0.180,kg,\r\n'b',1625, 3540,507,\r\n'
b',49335,-0.180,kg,\r\n'b',1661, 3666,591,\r\n'
b',49720,-0.180,kg,\r\n'b',1652, 3574,469,\r\n'
b',50105,-0.181,kg,\r\n'b',1718, 3497,399,\r\n'
b',50490,-0.179,kg,\r\n'b',1639, 3498,544,\r\n'
b',50875,-0.180,kg,\r\n'b',1680, 3477,403,\r\n'
b',51260,-0.179,kg,\r\n'b',1664, 3617,132,\r\n'
b',51645,-0.180,kg,\r\n'b',1514, 3675,720,\r\n'
b',52030,-0.180,kg,\r\n'b',1547, 3594,417,\r\n'
b',52415,-0.178,kg,\r\n'b',1669, 3514,439,\r\n'
b',52800,-0.178,kg,\r\n'b',1695, 3471,451,\r\n'
b',53185,-0.178,kg,\r\n'b',1714, 3375,204,\r\n'
b',53570,-0.178,kg,\r\n'b',1787, 3589,-39,\r\n'
b',53955,-0.178,kg,\r\n'b',1502, 3735,699,\r\n'
b',54340,-0.178,kg,\r\n'b',1546, 3461,317,\r\n'
b',54725,-0.178,kg,\r\n'b',1769, 3415,281,\r\n'
b',55110,-0.179,kg,\r\n'b',1626, 3458,333,\r\n'
b',55495,-0.179,kg,\r\n'b',1673, 3517,269,\r\n'
b',55880,-0.179,kg,\r\n'b',1641, 3847,637,\r\n'
b',56265,-0.178,kg,\r\n'b',1556, 3885,887,\r\n'
b',56650,-0.178,kg,\r\n'b',1399, 3639,362,\r\n'
b',57035,-0.179,kg,\r\n'b',1935, 3697,-393,\r\n'
