Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,0x6104 Linear-Acceleration-X,0x6104 Linear-Acceleration-Y,0x6104 Linear-Acceleration-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
0,9.5367431640625e-07,9.5367431640625e-07,1048576.0,0.0,-30.0,-7.0,-30.0,1466,1520.0,-28311552.0,0,0,0,,0,0,
1,0.08074378967285156,0.08074283599853516,12.384999704718597,12.384853424042708,-12.0,-6.0,-24.0,1466,1493.0,-14155943.197496014,0,0,0,,0,0,
2,0.17154812812805176,0.0908043384552002,11.012689668934335,11.658535839616414,18.0,38.0,14.0,1447,1470.0,-7078098.2446791995,0,0,0,,0,0,
3,0.2574429512023926,0.08589482307434082,11.642145174855456,11.653067159106273,-23.0,-46.0,3.0,1480,1475.0,-3539020.0169766624,0,0,0,,0,0,
4,0.34074902534484863,0.08330607414245605,12.003926607920185,11.73884502223264,-21.0,38.0,9.0,1475,1475.0,-1769510.0084883312,0,0,0,,0,0,
5,0.4243161678314209,0.08356714248657227,11.966425681728701,11.783665999704446,22.0,-36.0,38.0,1504,1489.5,-884668.2476579731,0,0,0,,0,0,
6,0.50199294090271,0.07767677307128906,12.873861264579496,11.952359308500407,-17.0,16.0,16.0,1419,1454.25,-442561.02563377476,0,0,0,,0,0,
7,0.5830729007720947,0.08107995986938477,12.333503884448678,12.005359862773119,15.0,-11.0,33.0,1480,1467.125,-221201.11588563124,0,0,0,,0,0,
8,0.6743311882019043,0.09125828742980957,10.957908899716536,11.863606696483815,-2.0,-8.0,-4.0,1579,1523.0625,-110294.07892827668,0,0,0,,0,0,
9,0.759972095489502,0.08564090728759766,11.67666284339818,11.84254007932101,18.0,28.0,6.0,1565,1544.03125,-55024.616952139586,0,0,0,,0,0,
10,0.8426082134246826,0.08263611793518066,12.101246101424982,11.8679118488012,-9.0,-33.0,-20.0,1341,1442.515625,-28126.54125670228,0,0,0,,0,0,
11,0.9266889095306396,0.08408069610595703,11.893336357965179,11.870218675187783,54.0,4.0,-16.0,1541,1491.7578125,-13770.443678881395,0,0,0,,0,0,
12,1.008397102355957,0.08170819282531738,12.23867479406727,11.900073861739525,-41.0,-40.0,-48.0,1485,1488.37890625,-6905.898506817393,0,0,0,,0,0,
13,1.0913550853729248,0.08295798301696777,12.054295001307656,11.911796787530243,34.0,-13.0,-27.0,1832,1660.189453125,-2417.421745225073,0,0,0,,0,0,
14,1.1738460063934326,0.08249092102050781,12.122546186038983,11.926607002748266,4.0,-22.0,-45.0,1555,1607.5947265625,-1527.5018735605354,0,0,0,,0,0,
15,1.2566158771514893,0.08276987075805664,12.081690968481574,11.936821961856925,2.0,-25.0,-23.0,1518,1562.79736328125,-1034.3648864637007,0,0,0,,0,0,
16,1.3355848789215088,0.07896900177001953,12.663196666867943,11.979770250858243,31.0,18.0,-13.0,1546,1554.398681640625,-570.3595219106741,0,0,0,,0,0,
17,1.4284741878509521,0.09288930892944336,10.76550155798422,11.900810070341846,-11.0,-55.0,-10.0,994,1274.1993408203125,-1793.4229810289498,0,0,0,,0,0,
