Index,Time,Difference,Hz,AveHz,0x6829 Acceleration-X,0x6829 Acceleration-Y,0x6829 Acceleration-Z,0x6829 Range,0x6829 Smoothed Range,0x6126 Acceleration-X,0x6126 Acceleration-Y,0x6126 Acceleration-Z,0x6126 Range,0x6126 Smoothed Range,
0,0.0,0.0,0,0,-147.0,-52.0,971.0,147,132.3,-30.0,211.0,962.0,3603,3242.7000000000003,
1,0.04678654670715332,0.04678654670715332,21.373665516696647,21.373665516696647,-153.0,-46.0,974.0,119,120.33000000000001,-29.0,210.0,957.0,3556,3524.67,
2,0.08971691131591797,0.04293036460876465,23.293536151235955,22.292341217114004,-152.0,-48.0,960.0,142,139.833,-32.0,210.0,960.0,3580,3574.467,
3,0.1362168788909912,0.04649996757507324,21.505391340015894,22.023702381264933,-173.0,-67.0,971.0,105,108.4833,-30.0,210.0,953.0,3570,3570.4467,
4,0.182051420211792,0.04583454132080078,21.8176067913693,21.971814311289336,-158.0,-49.0,975.0,142,138.64833,-30.0,209.0,950.0,3566,3566.44467,
5,0.22586441040039062,0.04381299018859863,22.824281011073925,22.137175091624584,-175.0,-51.0,953.0,100,103.86483299999999,-31.0,211.0,962.0,3566,3566.044467,
6,0.27216124534606934,0.04629683494567871,21.599748690668083,22.04575450252162,-162.0,-33.0,935.0,166,159.78648330000001,-30.0,208.0,964.0,3589,3586.7044466999996,
7,0.3170461654663086,0.04488492012023926,22.279197497091804,22.07880353860916,-164.0,-33.0,940.0,166,165.37864833,-31.0,210.0,961.0,3598,3596.8704446700003,
8,0.3627943992614746,0.045748233795166016,21.858767367444575,22.051057062306544,-165.0,-50.0,973.0,133,136.237864833,-29.0,211.0,963.0,3584,3585.2870444669998,
9,0.4071767330169678,0.044382333755493164,22.531487539819395,22.103424066779755,-142.0,-35.0,971.0,161,158.5237864833,-31.0,211.0,960.0,3584,3584.1287044467,
10,0.4523952007293701,0.045218467712402344,22.114858167246652,22.104566944736792,-164.0,-54.0,957.0,147,148.15237864833,-29.0,209.0,961.0,3631,3626.31287044467,
11,0.49857258796691895,0.04617738723754883,21.655621069588292,22.062985943242165,-144.0,-42.0,980.0,133,134.515237864833,-29.0,212.0,960.0,3580,3584.6312870444667,
12,0.5431928634643555,0.04462027549743652,22.411336300634247,22.091600989502773,-164.0,-47.0,968.0,175,170.9515237864833,-29.0,210.0,958.0,3561,3563.363128704447,
13,0.5890722274780273,0.045879364013671875,21.796291677059948,22.06860108760586,-187.0,-72.0,997.0,194,191.69515237864832,-29.0,211.0,956.0,3612,3607.1363128704447,
14,0.6358950138092041,0.04682278633117676,21.357122853112955,22.016212890451445,-309.0,-151.0,1066.0,152,155.96951523786484,-31.0,208.0,954.0,3561,3565.6136312870444,
15,0.6885604858398438,0.05266547203063965,18.987772471083545,21.784578564226436,-396.0,-208.0,1161.0,175,173.0969515237865,-29.0,209.0,956.0,ranging-error,3565.6136312870444,
16,0.732154130935669,0.043593645095825195,22.939123301156716,21.853322031458767,-511.0,-172.0,1077.0,185,183.80969515237865,-30.0,210.0,953.0,3608,3603.7613631287045,
17,0.7799537181854248,0.04779958724975586,20.920682740939515,21.79616508470628,-529.0,-217.0,1085.0,218,214.58096951523788,-30.0,212.0,956.0,3523,3531.0761363128704,
18,0.8249251842498779,0.044971466064453125,22.23632199508016,21.820160595979118,-308.0,-171.0,1030.0,218,217.6580969515238,-31.0,208.0,960.0,3495,3498.6076136312868,
19,0.872443437576294,0.047518253326416016,21.044544569656708,21.777916116583174,-273.0,-232.0,938.0,358,343.96580969515236,-30.0,209.0,961.0,3542,3537.6607613631286,
20,0.9190394878387451,0.04659605026245117,21.46104646998025,21.76185056752339,-235.0,-83.0,897.0,583,559.0965809695152,-30.0,211.0,962.0,3505,3508.2660761363127,
21,0.9655675888061523,0.04652810096740723,21.49238802375572,21.748865893442876,-165.0,-194.0,1092.0,513,517.6096580969515,-30.0,210.0,962.0,3570,3563.826607613631,
22,1.0125043392181396,0.046936750411987305,21.305267007675234,21.728301941884514,-85.0,-274.0,1395.0,386,399.1609658096952,-32.0,209.0,960.0,4517,4421.682660761363,
23,1.056298017501831,0.043793678283691406,22.834345941943774,21.774158068000094,-122.0,-218.0,1060.0,433,429.6160965809695,-30.0,212.0,959.0,3514,3604.768266076136,
24,1.103658676147461,0.04736065864562988,21.114571220015605,21.745853603739835,-176.0,-261.0,1070.0,471,466.861609658097,-31.0,207.0,962.0,3528,3535.6768266076137,
