Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,0x6104 Linear-Acceleration-X,0x6104 Linear-Acceleration-Y,0x6104 Linear-Acceleration-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
0,1.1920928955078125e-06,1.1920928955078125e-06,838860.8,0.0,-6.0,-19.0,-17.0,1939,2003.0,-2684354.5600000005,0,0,0,,0,0,
1,0.08368420600891113,0.08368301391601562,11.949856406983635,11.949686179653957,2.0,20.0,19.0,1902,1982.8000000000002,-2147531.9254198847,0,0,0,,0,0,
2,0.16631031036376953,0.0826261043548584,12.102712669415597,12.025712630957228,-5.0,-11.0,46.0,1925,1971.2400000000002,-1718053.5218075996,0,0,0,,0,0,
3,0.2507750988006592,0.08446478843688965,11.83925300123352,11.962910250449932,3.0,18.0,77.0,1958,1968.592,-1374449.0875144692,0,0,0,,0,0,
4,0.331287145614624,0.08051204681396484,12.420501522097059,12.074117734266318,8.0,1.0,79.0,1977,1970.2736000000002,-1099555.0927485034,0,0,0,,0,0,
5,0.4165382385253906,0.0852510929107666,11.730054898495116,12.003699870870843,1.0,-2.0,26.0,2014,1979.0188800000003,-879623.5576759023,0,0,0,,0,0,
6,0.49659013748168945,0.08005189895629883,12.49189604541312,12.082398636483664,12.0,5.0,-19.0,1939,1971.0151040000003,-703718.8426082743,0,0,0,,0,0,
7,0.5797293186187744,0.08313918113708496,12.028023205462404,12.074600637203837,-1.0,-18.0,-75.0,1906,1958.0120832000005,-563006.3542138041,0,0,0,,0,0,
8,0.6618943214416504,0.08216500282287598,12.170631846209648,12.08652158032639,16.0,13.0,-49.0,1925,1951.4096665600005,-450421.15448748745,0,0,0,,0,0,
9,0.7441222667694092,0.08222794532775879,12.16131566967923,12.09478657193435,3.0,-27.0,-36.0,1902,1941.5277332480005,-360360.9590520768,0,0,0,,0,0,
10,0.8254783153533936,0.08135604858398438,12.29164908332161,12.114188603148133,13.0,17.0,1.0,1920,1937.2221865984004,-288299.3516953672,0,0,0,,0,0,
11,0.9033260345458984,0.07784771919250488,12.845591500595681,12.177220161189858,-2.0,-14.0,8.0,1935,1936.7777492787204,-230640.62316834502,0,0,0,,0,0,
