Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,0x6104 Linear-Acceleration-X,0x6104 Linear-Acceleration-Y,0x6104 Linear-Acceleration-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
0,1.1920928955078125e-06,1.1920928955078125e-06,838860.8,0.0,-1.0,-4.0,4.0,241,255.0,-5872025.6,0.0,0.0,-7.0,1308,1310.5,-1048576.0,
1,0.03429818153381348,0.03429698944091797,29.1570781080555,29.156064703142704,0.0,-5.0,-3.0,194,224.5,-2936457.445441148,-1.0,1.0,0.0,1317,1313.75,-524240.6197480744,
2,0.0711061954498291,0.036808013916015625,27.167996683594154,28.12694431684443,0.0,-5.0,-1.0,278,251.25,-1467865.3507649307,-2.0,2.0,-1.0,1345,1329.375,-261908.05989994662,
3,0.10745024681091309,0.036344051361083984,27.514819139584617,27.91989864182711,-1.0,-6.0,-2.0,269,260.125,-733810.5783725334,0.0,0.0,-6.0,1345,1337.1875,-130846.5501877093,
4,0.14212918281555176,0.03467893600463867,28.835948134805506,28.14341095024097,0.0,-4.0,4.0,213,236.5625,-367245.0127002299,-2.0,0.0,-3.0,1382,1359.59375,-65100.22236240691,
5,0.17734408378601074,0.035214900970458984,28.39706977562931,28.193779534439763,-1.0,-5.0,0.0,199,217.78125,-183889.1725834767,-3.0,0.0,1.0,1374,1366.796875,-32447.837359589663,
6,0.21428132057189941,0.03693723678588867,27.072950957231193,28.000574123710308,0.0,-7.0,-8.0,236,226.890625,-91821.27746042534,-3.0,0.0,0.0,1317,1341.8984375,-16560.955768469423,
7,0.2508370876312256,0.03655576705932617,27.35546482657866,27.906559058328828,-1.0,-7.0,-1.0,297,261.9453125,-45431.17009475619,0.0,2.0,-7.0,1303,1322.44921875,-8546.499093944742,
8,0.28867626190185547,0.03783917427062988,26.42763800414595,27.712704700048562,0.0,-6.0,-1.0,274,267.97265625,-22635.94081800232,0.0,0.0,-5.0,1299,1310.724609375,-4428.176413123629,
9,0.3256680965423584,0.03699183464050293,27.032992813637975,27.635497905854603,-2.0,-5.0,1.0,250,258.986328125,-11439.434080813218,-3.0,0.0,1.0,1289,1299.8623046875,-2360.908508840181,
10,0.36334824562072754,0.03768014907836914,26.539173131192975,27.521806202521926,0.0,-7.0,-7.0,316,287.4931640625,-5341.443113222696,0.0,3.0,0.0,1350,1324.93115234375,-847.8010103457307,
11,0.40052032470703125,0.03717207908630371,26.901911988249708,27.46427414899899,3.0,-7.0,-4.0,203,245.24658203125,-3238.9784724158776,-1.0,0.0,-7.0,1341,1332.965576171875,-315.8298238226078,
12,0.4352562427520752,0.034735918045043945,28.788644615733084,27.569966427420727,1.0,-4.0,1.0,297,271.123291015625,-1247.0115468199792,0.0,0.0,0.0,1331,1331.9827880859375,-172.0614803806195,
13,0.47315311431884766,0.03789687156677246,26.387402407031097,27.475249779798723,0.0,-7.0,-1.0,274,272.5616455078125,-604.5285540153334,-2.0,0.0,-3.0,1294,1312.9913940429688,-336.5975186314646,
14,0.5127160549163818,0.03956294059753418,25.276179801011214,27.3055619494561,1.0,-6.0,-12.0,203,237.78082275390625,-741.8274417850848,-2.0,1.0,-3.0,1308,1310.4956970214844,-199.8396026376759,
15,0.5481841564178467,0.035468101501464844,28.194348094969214,27.36306736411118,-2.0,-6.0,-2.0,227,232.39041137695312,-446.90328826099176,-4.0,0.0,-9.0,1327,1318.7478485107422,16.412214491438732,
16,0.5879571437835693,0.039772987365722656,25.14269272269512,27.212867756037845,-1.0,-7.0,-1.0,288,260.19520568847656,126.09205566569165,-1.0,-1.0,0.0,1313,1315.873924255371,-27.922989984828533,
17,0.6229121685028076,0.03495502471923828,28.608190325484955,27.291166972801523,3.0,-8.0,-4.0,236,248.09760284423828,-109.99923449220262,-2.0,0.0,-2.0,1294,1304.9369621276855,-170.40484205813877,
18,0.6588432788848877,0.03593111038208008,27.831035260706276,27.32060958482501,0.0,-7.0,0.0,227,237.54880142211914,-201.79164941469446,-2.0,0.0,-6.0,1345,1324.9684810638428,193.5465338897792,
19,0.6941890716552734,0.03534579277038574,28.29191034124559,27.370064980560784,-1.0,-5.0,0.0,255,246.27440071105957,22.536111670822223,-2.0,-1.0,-9.0,1299,1311.9842405319214,-86.90121754425383,
20,0.7350151538848877,0.04082608222961426,24.494145540975374,27.21032334407114,1.0,-6.0,2.0,260,253.13720035552979,95.31726249051485,0.0,0.0,-1.0,1317,1314.4921202659607,-12.736423169716218,
21,0.7764401435852051,0.04142498970031738,24.14001807204646,27.04651501277703,-2.0,-7.0,-5.0,269,261.0686001777649,143.3906987679482,0.0,1.0,0.0,1322,1318.2460601329803,38.94187653075694,
22,0.8128452301025391,0.036405086517333984,27.46868901201095,27.065423016906596,0.0,-5.0,0.0,274,267.53430008888245,160.49749943571157,0.0,0.0,-6.0,1359,1338.6230300664902,299.33526332071796,
23,0.849393367767334,0.03654813766479492,27.361175258000966,27.078148797484094,-2.0,-4.0,1.0,180,223.76715004444122,-518.5115817367348,-1.0,0.0,-8.0,1322,1330.311515033245,35.96122191829471,
24,0.8846902847290039,0.03529691696166992,28.331086283992814,27.128137851487338,2.0,-5.0,-1.0,227,225.3835750222206,-236.3582531098329,0.0,2.0,-2.0,1322,1326.1557575166225,-40.88795143024513,
