Index,Time,Difference,Hz,AveHz,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,1.1920928955078125e-06,1.1920928955078125e-06,838860.8,0.0,1368,684.0,286890393.6,
1,0.013756036758422852,0.013754844665527344,72.7016570755044,72.69535677764875,1350,1017.0,143457301.62590307,
2,0.027170896530151367,0.013414859771728516,74.54420076067252,73.60817107306758,1345,1181.0,71734763.43741392,
3,0.04062294960021973,0.01345205307006836,74.33809506929921,73.84988115150982,1359,1270.0,35870689.76393754,
4,0.05398678779602051,0.013363838195800781,74.82880182687505,74.09220224609936,1355,1312.5,17936934.99400759,
5,0.06630587577819824,0.012319087982177734,81.17484033288174,75.40809832186892,1350,1331.25,8969228.511131916,
6,0.0838479995727539,0.017542123794555664,57.00564034956576,71.55805780189033,ranging-error,1331.25,8969228.511131916,
7,0.09507417678833008,0.011226177215576172,89.0775177335089,73.62672217067482,ranging-error,1331.25,8969228.511131916,
8,0.10564899444580078,0.010574817657470703,94.56427830635343,75.72244337927984,ranging-error,1331.25,8969228.511131916,
9,0.1154477596282959,0.009798765182495117,102.05367527190442,77.95733783814482,1327,1329.125,4484505.823535982,
10,0.13173413276672363,0.016286373138427734,61.40102474015517,75.91047050583404,1331,1330.0625,2242281.6934983376,
11,0.1482560634613037,0.016521930694580078,60.52561401483448,74.19595356294556,1327,1328.53125,1121094.5068259388,
12,0.1656789779663086,0.017422914505004883,57.39567853086471,72.42922516361878,1355,1341.765625,560927.0513794979,
13,0.18124794960021973,0.015568971633911133,64.23031806557327,71.72494932314666,1341,1341.3828125,280451.2316054317,
14,0.1986219882965088,0.017374038696289062,57.55714128883522,70.48565025489718,1336,1338.69140625,140148.1609778174,
15,0.21604490280151367,0.017422914505004883,57.39567853086471,69.43001110181667,1327,1332.845703125,69906.32144023401,
16,0.23284006118774414,0.01679515838623047,59.54096871273636,68.7166972830283,1350,1341.4228515625,35208.506583497845,
17,0.24872207641601562,0.015882015228271484,62.96430179842075,68.34938114446098,1364,1352.71142578125,17959.641888740545,
18,0.26449012756347656,0.015768051147460938,63.41937825087698,68.05547022045302,1345,1348.855712890625,8857.557487251608,
19,0.28113794326782227,0.016647815704345703,60.06794030876751,67.58248203409494,1350,1349.4278564453125,4445.962486071311,
20,0.29778385162353516,0.01664590835571289,60.07482311151852,67.162809168324,1345,1347.2139282226562,2156.4805698568193,
21,0.3150968551635742,0.017313003540039062,57.760052880907786,66.64617452020714,1355,1351.1069641113281,1190.6712643268893,
22,0.331773042678833,0.01667618751525879,59.965744513546355,66.31039044753467,1289,1320.053482055664,-335.7369534395291,
23,0.35765695571899414,0.025883913040161133,38.63403490996178,64.30743099561235,1359,1339.526741027832,208.29680675096728,
24,0.37209391593933105,0.014436960220336914,69.26665895991941,64.49984525926281,ranging-error,1339.526741027832,208.29680675096728,
25,0.38016700744628906,0.008073091506958008,123.86828504769498,65.76057235459093,1350,1344.763370513916,428.47456031119134,
26,0.39567112922668457,0.015504121780395508,64.49897737932307,65.71113755713094,1336,1340.381685256958,72.93017101967169,
27,0.4112889766693115,0.015617847442626953,64.02931029218698,65.64727364844693,1364,1352.190842628479,414.53118632502833,
28,0.42890000343322754,0.017611026763916016,56.782606341212464,65.28328229393247,1369,1360.5954213142395,445.88253465115577,
29,0.44529008865356445,0.016390085220336914,61.01249545421485,65.12608463325127,1359,1359.7977106571198,198.6061084049291,
30,0.46298980712890625,0.017699718475341797,56.498073762763006,64.79624289363105,1345,1352.3988553285599,-109.70748285402942,
31,0.4797699451446533,0.01678013801574707,59.594265497790595,64.61430173716556,1359,1355.69942766428,43.4938506077674,
32,0.49576497077941895,0.015995025634765625,62.519437157166706,64.54671444352164,1336,1345.84971383214,-286.1523571683915,
33,0.5137290954589844,0.01796412467956543,55.66650297954796,64.23619041961521,1336,1340.92485691607,-280.1509596803244,
34,0.5347809791564941,0.021051883697509766,47.50168746743981,63.577429499508256,1350,1345.462428458035,-32.30432721637682,
35,0.5512268543243408,0.01644587516784668,60.8055205207382,63.49472948465255,1355,1350.2312142290175,128.83208692005206,
36,0.5670969486236572,0.015870094299316406,63.011597860705486,63.481209143113716,1331,1340.6156071145087,-238.5313408829559,
37,0.58188796043396,0.014791011810302734,67.60862697056643,63.58612398924042,1331,1335.8078035572544,-281.7901690665646,
38,0.6045258045196533,0.02263784408569336,44.1738177988415,62.859186019683975,1331,1333.4039017786272,-193.9898441209765,
39,0.621912956237793,0.01738715171813965,57.513732910993184,62.7097403403959,1331,1332.2019508893136,-131.55926327054462,
40,0.6371569633483887,0.015244007110595703,65.59954956363977,62.77887914744259,1341,1336.6009754446568,78.50738303968014,
41,0.653209924697876,0.016052961349487305,62.29380226047437,62.76695813977935,1336,1336.3004877223284,29.89443014162728,
42,0.6713931560516357,0.018183231353759766,54.9957254871109,62.5564911131889,1345,1340.6502438611642,134.5562123444582,
43,0.6873118877410889,0.015918731689453125,62.819075005990896,62.56257278092962,1364,1352.325121930582,433.98062673650975,
44,0.7036890983581543,0.01637721061706543,61.06045915767714,62.527613547887405,1355,1353.662560965291,257.82263414561936,
45,0.7198281288146973,0.01613903045654297,61.96159073450334,62.514922935977935,1378,1365.8312804826455,505.9079263214502,
46,0.7371819019317627,0.01735377311706543,57.62435599763694,62.39979559923867,ranging-error,1365.8312804826455,505.9079263214502,
47,0.7468340396881104,0.009652137756347656,103.60399170042486,62.93232164354472,1345,1355.4156402413228,-286.59698939758226,
48,0.775425910949707,0.02859187126159668,34.974975609349336,61.901465146053404,1355,1355.2078201206614,-146.93274652442307,
