Index,Time,Difference,Hz,AveHz,0x6103 Pressure,0x6103 Acceleration-X,0x6103 Acceleration-Y,0x6103 Acceleration-Z,0x6103 Magnetic-X,0x6103 Magnetic-Y,0x6103 Magnetic-Z,0x6103 Angular-Vel-X,0x6103 Angular-Vel-Y,0x6103 Angular-Vel-Z,0x6103 Heading,0x6103 Roll,0x6103 Pitch,0x6103 Quaternion-X,0x6103 Quaternion-Y,0x6103 Quaternion-Z,0x6103 Quaternion-W,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Gravity-X,0x6103 Gravity-Y,0x6103 Gravity-Z,0x6103 Measured-X,0x6103 Measured-Y,0x6103 Measured-Z,0x6103 Smoothed-X,0x6103 Smoothed-Y,0x6103 Smoothed-Z,0x6103 Velocity-X,0x6103 Velocity-Y,0x6103 Velocity-Z,
365,34.40599989891052,0.10399985313415527,9.615398193976713,10.608614807662017,102256.75,-26.0,618.0,984.0,6.0625,1.375,-43.5625,23.125,13.6875,107.875,292.5625,2.6875,-6.375,-0.05963134765625,-0.01129150390625,-0.5540771484375,-0.83026123046875,-72.0,509.0,11.0,46.0,109.0,973.0,186,4622,1141,505.0840090912556,4395.728248905719,779.2387150197137,240.05666509942984,276.48323396555213,-84.93115020806813,
366,34.50600004196167,0.10000014305114746,9.999985694905718,10.606850969539176,102256.75,359.0,308.0,880.0,8.0625,-1.5625,-42.375,5.0625,14.9375,94.75,282.6875,3.25,-5.9375,-0.058349609375,-0.01007080078125,-0.62310791015625,-0.77984619140625,303.0,206.0,-93.0,55.0,101.0,973.0,421,4738,454,488.2672072730045,4464.182599124575,714.190972015771,208.6233830102974,307.90379921678704,-128.47814210549737,
367,34.60599994659424,0.09999990463256836,10.000009536752259,10.605097398323219,102256.75,-421.0,470.0,972.0,11.5,-2.25,-41.375,34.625,28.4375,100.5,271.875,3.0625,-5.875,-0.055908203125,-0.01617431640625,-0.6942138671875,-0.7174072265625,-475.0,369.0,-1.0,53.0,100.0,974.0,292,4789,439,449.0137658184036,4529.14607929966,659.1527776126168,162.33420377348517,334.21713411653764,-160.96477526999593,
368,34.70900011062622,0.10300016403198242,9.708722402514733,10.602437374372423,102256.5,485.0,86.0,888.0,14.5,-5.1875,-38.875,-7.9375,-1.6875,97.25,262.25,3.875,-5.1875,-0.0552978515625,-0.01177978515625,-0.751953125,-0.65679931640625,419.0,-1.0,-85.0,66.0,88.0,974.0,155,4868,503,390.21101265472294,4596.916863439728,627.9222220900934,105.87520034625447,359.14593001624763,-171.91756471563295,
369,34.807000160217285,0.09800004959106445,10.204076469071287,10.601315778478064,102256.5,-103.0,217.0,753.0,14.5,-8.25,-39.375,-4.8125,12.625,91.6875,254.5,3.9375,-5.1875,-0.0548095703125,-0.01519775390625,-0.79449462890625,-0.6046142578125,-171.0,128.0,-221.0,67.0,88.0,974.0,-168,4683,1125,278.56881012377835,4614.133490751783,727.3377776720747,10.003980890892592,345.01903659063805,-80.56772951675097,
370,34.901999950408936,0.09499979019165039,10.526339036987586,10.601111699206934,102256.5,121.0,-37.0,913.0,14.875,-10.375,-39.375,-22.9375,3.0625,88.375,244.875,4.3125,-4.6875,-0.0540771484375,-0.01446533203125,-0.84259033203125,-0.53564453125,47.0,-117.0,-60.0,74.0,80.0,974.0,-153,4674,857,192.2550480990227,4626.106792601427,753.2702221376597,-60.72605568025018,328.1572684420974,-53.34503925126091,
371,34.99399995803833,0.09200000762939453,10.869564315997886,10.601817467133507,102256.5,144.0,474.0,979.0,15.6875,-12.5,-40.1875,9.75,6.4375,94.1875,236.3125,4.125,-4.875,-0.05224609375,-0.02044677734375,-0.8802490234375,-0.47119140625,73.0,391.0,5.0,71.0,83.0,974.0,-350,4641,1134,83.80403847921818,4629.085434081141,829.4161777101278,-146.81892165606845,305.3821519776862,14.493377606436766,
372,35.08800005912781,0.09400010108947754,10.63828643171471,10.601915166812928,102249.75,-450.0,624.0,772.0,13.375,-13.5,-41.0,6.875,19.4375,92.0,226.6875,3.75,-4.4375,-0.0458984375,-0.02288818359375,-0.91693115234375,-0.39581298828125,-514.0,547.0,-203.0,64.0,76.0,975.0,-400,4660,1020,-12.95676921662546,4635.268347264913,867.5329421681023,-214.77529213624982,286.9324475856217,44.600661008609535,
373,35.1800000667572,0.09200000762939453,10.869564315997886,10.602615102109127,102249.75,234.0,267.0,1080.0,12.5625,-15.25,-41.5,13.5,-2.1875,110.9375,217.1875,3.6875,-4.0625,-0.042236328125,-0.02349853515625,-0.9466552734375,-0.318603515625,121.0,79.0,69.0,60.0,70.0,976.0,-486,4495,1177,-107.56541537330037,4607.214677811931,929.4263537344818,-277.4209114889673,241.35894946127104,92.96850027825792,
374,35.27500009536743,0.09500002861022949,10.526312619366108,10.602409609890161,102249.75,234.0,-23.0,1108.0,10.25,-17.375,-43.0,-25.8125,-11.9375,109.3125,208.25,3.6875,-3.5,-0.03912353515625,-0.02178955078125,-0.96875,-0.24395751953125,410.0,-7.0,207.0,63.0,60.0,976.0,-476,4418,990,-181.25233229864028,4569.371742249546,941.5410829875855,-315.78466861484765,192.10162445010985,95.6292296679525,
