Index,Time,Difference,Hz,AveHz,0x6030 Acceleration-X,0x6030 Acceleration-Y,0x6030 Acceleration-Z,0x6030 Range,0x6030 Smoothed Range,0x6030 Velocity,
0,0.0,0.0,0,0,4.0,7.0,1014.0,1607,1580.6000000000001,,
1,0.0290219783782959,0.0290219783782959,34.456644787105574,34.456644787105574,6.0,7.0,1015.0,1560,1576.4800000000002,-28.39227530457424,
2,0.0586702823638916,0.029648303985595703,33.728742139376294,34.088808156663866,5.0,6.0,1018.0,1518,1564.784,-101.61209385608939,
3,0.08521008491516113,0.02653980255126953,37.67925545294477,35.20710022747813,3.0,6.0,1014.0,1579,1567.6272000000001,-59.86374326410882,
4,0.11230206489562988,0.02709197998046875,36.911292593635594,35.618223081806,7.0,5.0,1004.0,1555,1565.1017600000002,-66.53444556482046,
5,0.1422131061553955,0.029911041259765625,33.43247034816988,35.15850356672842,4.0,4.0,1013.0,1757,1603.4814080000003,203.39773229478365,
6,0.16968917846679688,0.027476072311401367,36.39530383624168,35.358766270260546,3.0,5.0,1008.0,1776,1637.9851264000004,413.8728487654517,
7,0.1958601474761963,0.026170969009399414,38.21027794732575,35.739787242071486,6.0,7.0,1017.0,1701,1650.5881011200004,427.41091241522554,
8,0.2237381935119629,0.0278780460357666,35.87051971709328,35.75607666454254,4.0,7.0,1009.0,1238,1568.0704808960004,-250.06125471834082,
9,0.2503640651702881,0.026625871658325195,37.55745587721733,35.9476508494881,5.0,5.0,1011.0,1242,1502.8563847168004,-689.9041117392545,
10,0.2766401767730713,0.026276111602783203,38.05738136285274,36.148039365240244,3.0,7.0,1011.0,1200,1442.2851077734404,-1012.9601266450884,
11,0.30582308769226074,0.029182910919189453,34.2666296302348,35.96850742370675,6.0,7.0,1014.0,1223,1398.4280862187525,-1110.9345641760137,
12,0.3349781036376953,0.02915501594543457,34.29941530032301,35.82323701067616,5.0,6.0,1015.0,1214,1361.542468975002,-1141.7786722312412,
13,0.36251211166381836,0.027534008026123047,36.31872261572831,35.86087080052036,5.0,4.0,1003.0,1158,1320.8339751800017,-1209.1190366339358,
14,0.3891153335571289,0.026603221893310547,37.589431987238086,35.97904989252899,3.0,6.0,1018.0,1144,1285.4671801440013,-1233.1787766296143,
15,0.4207632541656494,0.03164792060852051,31.59765257154911,35.649500880831866,6.0,8.0,1009.0,1158,1259.973744115201,-1147.6495682023,
16,0.44535207748413086,0.024588823318481445,40.668883868402936,35.92663155494121,4.0,6.0,1015.0,1228,1253.578995292161,-970.133114012205,
17,0.4727311134338379,0.02737903594970703,36.524295517085235,35.96124629181885,6.0,6.0,1008.0,1327,1268.2631962337289,-668.8404722853462,
18,0.499683141708374,0.026952028274536133,37.102958998628864,36.02282826364631,6.0,7.0,1015.0,1242,1263.0105569869831,-574.0500695495962,
19,0.5278000831604004,0.028116941452026367,35.56574607185558,35.9984786024102,7.0,6.0,1013.0,1162,1242.8084455895867,-602.9406884547055,
20,0.5549829006195068,0.027182817459106445,36.78794523431539,36.03714632950806,5.0,8.0,1014.0,,1242.8084455895867,-602.9406884547055,
21,0.5747430324554443,0.0197601318359375,50.60694980694981,36.538067995853396,3.0,6.0,1010.0,1322,1258.6467564716695,-322.0468299964777,
22,0.6018760204315186,0.02713298797607422,36.855505957611335,36.55237831908799,4.0,6.0,1013.0,1555,1317.9174051773357,179.25248529945162,
23,0.6282730102539062,0.026396989822387695,37.88310738188354,36.60828911097888,6.0,6.0,1009.0,1832,1420.7339241418688,922.4038339525358,
24,0.6554520130157471,0.02717900276184082,36.79310859057694,36.615952843863504,6.0,6.0,1016.0,1790,1494.587139313495,1281.380940276607,
25,0.6830952167510986,0.027643203735351562,36.175257020630646,36.59811895463663,4.0,6.0,1015.0,1762,1548.0697114507961,1412.0539108595426,
26,0.7127020359039307,0.02960681915283203,33.776002576904496,36.4808835813466,6.0,5.0,1005.0,1766,1591.655769160637,1424.0756881925724,
27,0.7404251098632812,0.027723073959350586,36.07103604262163,36.46553802718215,5.0,6.0,1017.0,1715,1616.3246153285097,1317.2267184043033,
28,0.7662642002105713,0.02583909034729004,38.70105280640726,36.540921515458415,5.0,7.0,1003.0,1616,1616.259692262808,1053.278856524627,
29,0.7942900657653809,0.02802586555480957,35.68132438387396,36.51059134430378,6.0,6.0,1015.0,1607,1614.4077538102465,829.407161886739,
30,0.823976993560791,0.029686927795410156,33.684859777056765,36.40878353939948,4.0,5.0,1014.0,1593,1610.126203048197,634.6810420997944,
31,0.8512279987335205,0.027251005172729492,36.695894102310604,36.417975026811405,5.0,8.0,1019.0,2005,1689.1009624385579,1087.3547151486632,
32,0.8780081272125244,0.026780128479003906,37.34112033047256,36.446131884442465,7.0,6.0,1015.0,1289,1609.0807699508464,272.27504480868845,
33,0.9062919616699219,0.02828383445739746,35.35588505533967,36.412107130680745,4.0,8.0,1010.0,1350,1557.2646159606772,-148.58116105028927,
34,0.9374611377716064,0.03116917610168457,32.08297828398339,36.26817009270353,5.0,6.0,1011.0,1369,1519.6116927685418,-360.46851226058635,
35,0.9638280868530273,0.0263669490814209,37.926268864554984,36.313529847711415,5.0,6.0,1012.0,1429,1501.4893542148334,-425.8373466969566,
36,0.9894180297851562,0.025589942932128906,39.077851898781354,36.38502525349886,6.0,7.0,1015.0,1391,1479.3914833718668,-513.3773421735348,
37,1.0171263217926025,0.02770829200744629,36.09027939113899,36.37699586300206,5.0,7.0,1005.0,1410,1465.5131866974934,-510.87619462907776,
