Index Time Difference Hz AveHz Rotations RPS Pressure Acceleration-X Acceleration-Y Acceleration-Z Magnetic-X Magnetic-Y Magnetic-Z Angular-Vel-X Angular-Vel-Y Angular-Vel-Z Heading Roll Pitch Quaternion-X Quaternion-Y Quaternion-Z Quaternion-W Linear-Acceleration-X Linear-Acceleration-Y Linear-Acceleration-Z Gravity-X Gravity-Y Gravity-Z 
0 4.0531158447265625e-06 4.0531158447265625e-06 246723.76470588235 0.0 0 0 1.9986302521826374e-38 -32.0 -24.0 1010.0 0.5625 2.75 -22.5 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 5.0 0.0 24.0 -42.0 -24.0 979.0 
1 0.016160964965820312 0.016156911849975586 61.89301577463957 61.87749321373776 0 0 1.9986302521826374e-38 -36.0 -21.0 1007.0 0.5625 2.75 -22.5 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 5.0 2.0 27.0 -42.0 -24.0 979.0 
2 0.03228616714477539 0.016125202178955078 62.01472632108111 61.94603376212911 0 0 1.9986302521826374e-38 -33.0 -27.0 1012.0 0.5625 2.75 -22.5 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 6.0 0.0 35.0 -42.0 -24.0 979.0 
3 0.048777103424072266 0.016490936279296875 60.63937080730974 61.50426715415522 0 0 1.9986302521826374e-38 -38.0 -22.0 1014.0 -0.0625 1.6875 -22.1875 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 9.0 0.0 27.0 -42.0 -24.0 979.0 
4 0.06429100036621094 0.015513896942138672 64.45833717534963 62.217106239060136 0 0 1.9986302521826374e-38 -38.0 -24.0 1006.0 -0.0625 1.6875 -22.1875 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 3.0 0.0 27.0 -42.0 -24.0 979.0 
5 0.08081507682800293 0.016524076461791992 60.51775433938852 61.86964358941832 0 0 1.9986302521826374e-38 -36.0 -18.0 1014.0 -0.0625 1.6875 -22.1875 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 4.0 2.0 31.0 -42.0 -24.0 979.0 
6 0.09679818153381348 0.015983104705810547 62.56606700677228 61.984635505823874 0 0 1.9986302521826374e-38 -38.0 -22.0 1007.0 -0.5 3.5625 -22.5 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 1.0 3.0 26.0 -42.0 -24.0 979.0 
7 0.11305427551269531 0.016256093978881836 61.51539239986507 61.91716295783915 0 0 1.9986302521826374e-38 -40.0 -20.0 1006.0 -0.5 3.5625 -22.5 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 7.0 2.0 29.0 -42.0 -24.0 979.0 
8 0.12986207008361816 0.01680779457092285 59.496205512291304 61.60382315520461 0 0 1.9986302521826374e-38 -35.0 -24.0 1009.0 -0.5 3.5625 -22.5 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 4.0 4.0 33.0 -42.0 -24.0 979.0 
9 0.14537596702575684 0.015513896942138672 64.45833717534963 61.90844459459681 0 0 1.9986302521826374e-38 -39.0 -22.0 1013.0 -0.0625 2.75 -22.1875 0.0 0.0 0.0 359.25 -2.4375 1.375 -0.01251220703125 0.02142333984375 0.00634765625 0.99969482421875 2.0 1.0 33.0 -42.0 -24.0 979.0 
