Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z
0,4.0531158447265625e-06,4.0531158447265625e-06,246723.76470588235,0.0,1854,5930,2558,
1,0.05547499656677246,0.055470943450927734,18.02745613808873,18.026139015553618,1840,5926,2531,
2,0.10790705680847168,0.05243206024169922,19.07230033285436,18.53446900650692,1816,5939,2557,
3,0.16286587715148926,0.05495882034301758,18.19544149162307,18.42006473344664,1726,5948,2606,
4,0.21422505378723145,0.05135917663574219,19.470717124076206,18.671952366378232,1770,5974,2651,
5,0.2669179439544678,0.05269289016723633,18.977892403058686,18.732348698343507,2094,5813,2388,
6,0.3182220458984375,0.05130410194396973,19.49161883960313,18.85475905058739,1792,5985,2643,
7,0.3694028854370117,0.05118083953857422,19.538561872286508,18.949500060669116,1764,5956,2661,
8,0.4233531951904297,0.05395030975341797,18.535574764455287,18.89675120179853,1848,5941,2563,
9,0.4758610725402832,0.052507877349853516,19.04476148097024,18.913083081066944,1792,5978,2631,
10,0.5259101390838623,0.0500490665435791,19.980392623891845,19.014655274416352,1814,5985,2645,
11,0.5765728950500488,0.05066275596618652,19.738365608602557,19.078246817421334,1835,5939,2573,
12,0.628014087677002,0.051441192626953125,19.43967371153133,19.10785161585706,1785,5965,2658,
13,0.6803970336914062,0.0523829460144043,19.090182513313003,19.106491292988416,0,0,0,
14,0.7011442184448242,0.02074718475341797,48.19931050333257,19.96736139542412,1866,5939,2587,
15,0.7755210399627686,0.07437682151794434,13.445048868601322,19.341835007751854,1803,5979,2633,
16,0.8284411430358887,0.05292010307312012,18.896410663038434,19.31338168619526,1811,5982,2617,
17,0.8802051544189453,0.05176401138305664,19.318441003343864,19.313679219729522,1983,5898,2513,
18,0.9307420253753662,0.0505368709564209,19.78753296503701,19.33940824552393,1895,5936,2598,
19,0.9846248626708984,0.05388283729553223,18.558785138118857,19.29668924717227,1820,5983,2669,
20,1.0335140228271484,0.04888916015625,20.454431960049938,19.351454898783633,1796,5976,2660,
21,1.0854558944702148,0.051941871643066406,19.252290461764435,19.346709624023553,1802,5974,2694,
22,1.1369311809539795,0.05147528648376465,19.426798145463472,19.350335683062344,2054,5877,2457,
23,1.1903460025787354,0.05341482162475586,18.721395477552914,19.322113024425995,1825,5987,2672,
24,1.2410061359405518,0.050660133361816406,19.739387436230494,19.33914692678818,1806,5982,2621,
25,1.2936630249023438,0.05265688896179199,18.990867476534802,19.324970659872733,1867,5943,2630,
26,1.3451268672943115,0.05146384239196777,19.43111811169535,19.329031805229153,1784,5973,2657,
27,1.3953931331634521,0.050266265869140625,19.894057828033695,19.349385745355608,1873,5954,2611,
28,1.4466371536254883,0.05124402046203613,19.51447195172449,19.35523357037238,2037,5867,2534,
29,1.5019969940185547,0.055359840393066406,18.063635893813846,19.30762852088754,1869,5943,2609,
30,1.555366039276123,0.05336904525756836,18.737453427803043,19.28806418710427,1795,5983,2654,
31,1.6070210933685303,0.05165505409240723,19.359189871548114,19.29035040543237,1809,5962,2690,
32,1.657952070236206,0.05093097686767578,19.634416253159817,19.300919836265837,1802,5987,2693,
33,1.7098901271820068,0.05193805694580078,19.253704485778815,19.299485666009325,1901,5962,2627,
34,1.7604601383209229,0.050570011138916016,19.774565547414973,19.313132549782264,1806,5975,2685,
35,1.8123409748077393,0.051880836486816406,19.274939798900757,19.31203922800065,1881,5946,2573,
36,1.8636648654937744,0.051323890686035156,19.48410353605738,19.31677774612222,1941,5896,2524,
37,1.9144341945648193,0.05076932907104492,19.696931558828226,19.326859134173937,2061,5872,2496,
38,1.9707159996032715,0.05628180503845215,17.767731495405886,19.282331907616243,1818,5973,2669,
39,2.0253078937530518,0.05459189414978027,18.31773774429523,19.2563314053598,2070,5856,2506,
40,2.077605962753296,0.05229806900024414,19.12116487504217,19.252928956264157,1884,5966,2595,
41,2.1369221210479736,0.059316158294677734,16.85881265324169,19.186473665167114,1789,5981,2635,
42,2.1903061866760254,0.05338406562805176,18.732181377255937,19.175401254624838,1834,5994,2659,
43,2.2421040534973145,0.05179786682128906,19.305814338844495,19.178414103006084,1757,5970,2641,
44,2.297081232070923,0.0549771785736084,18.18936558668812,19.15474271683984,1867,5938,2591,
45,2.3522400856018066,0.05515885353088379,18.129455853176747,19.130700252685735,1975,5907,2545,
46,2.4035542011260986,0.05131411552429199,19.487815190473313,19.13832439411949,1836,5996,2671,
47,2.4543700218200684,0.05081582069396973,19.678910747547352,19.149516813747002,1821,5978,2684,
48,2.5058441162109375,0.05147409439086914,19.427248052321005,19.15522186295464,1811,5998,2647,
49,2.5585579872131348,0.052713871002197266,18.970338944721345,19.151412727359133,1786,5984,2663,
50,2.6126770973205566,0.054119110107421875,18.4777613307958,19.137458682237362,1958,5920,2573,
51,2.665431022644043,0.05275392532348633,18.955935389983097,19.133865992678825,1823,5971,2663,
52,2.7188720703125,0.05344104766845703,18.712208005424987,19.125578054146274,1810,5979,2620,
53,2.7712252140045166,0.0523531436920166,19.101049707402602,19.12511467208151,1890,5926,2616,
54,2.8219590187072754,0.05073380470275879,19.71072356703463,19.13564287859046,1873,5959,2561,
55,2.8742401599884033,0.05228114128112793,19.1273559737873,19.135492143503384,1809,5983,2662,
56,2.9280691146850586,0.05382895469665527,18.57736241833684,19.1252316139482,2074,5862,2541,
57,2.9803242683410645,0.05225515365600586,19.1368684241744,19.125435646547235,1794,5984,2678,
58,3.036057233810425,0.05573296546936035,17.942702161609507,19.103724183488694,1821,5986,2660,
59,3.087599277496338,0.051542043685913086,19.40163657641905,19.108697307327304,1893,5930,2596,
