Index Time Difference Hz AveHz Pressure Acceleration-X Acceleration-Y Acceleration-Z Magnetic-X Magnetic-Y Magnetic-Z Angular-Vel-X Angular-Vel-Y Angular-Vel-Z Heading Roll Pitch Quaternion-X Quaternion-Y Quaternion-Z Quaternion-W Linear-Acceleration-X Linear-Acceleration-Y Linear-Acceleration-Z Gravity-X Gravity-Y Gravity-Z Position-X Position-Y Position-Z
0 0.0 0.0 0 0 2.7078734931233996e-38 153.0 -164.0 929.0 -33.0625 -1.0625 -34.375 -0.0625 0.0625 0.125 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -7.0 -4.0 -24.0 161.0 -160.0 953.0 2557 2659 1360 
1 0.07996010780334473 0.07996010780334473 12.506236265456486 12.506236265456486 2.7078734931233996e-38 159.0 -152.0 930.0 -33.0625 -0.25 -34.875 0.1875 0.0 0.0625 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -2.0 7.0 -23.0 161.0 -160.0 953.0 2589 2648 1317 
2 0.1612393856048584 0.08127927780151367 12.303258924642867 12.403917271809158 2.7077300001606527e-38 155.0 -161.0 930.0 -33.5 -0.6875 -33.5625 0.3125 0.0 -0.0625 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -6.0 -1.0 -23.0 161.0 -160.0 953.0 2604 2651 1315 
3 0.23397064208984375 0.07273125648498535 13.749246862061844 12.822121498679362 2.7077300001606527e-38 163.0 -155.0 930.0 -33.0625 -1.0625 -33.1875 0.1875 -0.0625 0.0 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 1.0 4.0 -23.0 161.0 -160.0 953.0 2598 2653 1286 
4 0.30717015266418457 0.07319951057434082 13.661293527152866 13.022098551264587 2.7077300001606527e-38 154.0 -161.0 931.0 -33.875 -0.25 -32.75 0.1875 0.1875 0.0 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -7.0 -1.0 -22.0 161.0 -160.0 953.0 2541 2665 1393 
5 0.37135934829711914 0.06418919563293457 15.578945804501002 13.464047755705273 2.7077300001606527e-38 158.0 -154.0 923.0 -34.25 -0.6875 -32.75 0.0 -0.125 -0.125 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -3.0 5.0 -30.0 161.0 -160.0 953.0 2589 2651 1296 
6 0.43560242652893066 0.06424307823181152 15.565879274832533 13.774027954367945 2.7077300001606527e-38 157.0 -163.0 927.0 -33.875 -1.375 -34.375 0.25 -0.0625 0.0625 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -4.0 -3.0 -26.0 161.0 -160.0 953.0 2528 2653 1365 
9 0.5755069255828857 0.03518486022949219 28.421315118989536 15.638386959261362 2.706295070533184e-38 158.0 -164.0 921.0 -33.5 -0.25 -32.375 0.0625 -0.0625 -0.125 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 0.0 -1.0 -26.0 161.0 -160.0 953.0 2518 2669 1476 
10 0.6533312797546387 0.07782435417175293 12.849448101979357 15.306170559835344 2.706295070533184e-38 158.0 -157.0 933.0 -33.5 -2.1875 -34.375 0.1875 -0.0625 0.0625 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -4.0 4.0 -17.0 161.0 -160.0 953.0 2485 2670 1520 
11 0.7290711402893066 0.07573986053466797 13.203087422405218 15.087690887935889 2.706295070533184e-38 154.0 -161.0 930.0 -33.5 -0.6875 -33.5625 0.125 -0.0625 -0.0625 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -4.0 0.0 -36.0 161.0 -160.0 953.0 2527 2669 1462 
12 0.8015263080596924 0.07245516777038574 13.801638044218638 14.971436220289752 2.706295070533184e-38 160.0 -157.0 936.0 -33.0625 -1.0625 -32.75 -0.125 -0.125 0.0 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -1.0 2.0 -17.0 161.0 -160.0 953.0 2495 2682 1516 
13 0.8726952075958252 0.07116889953613281 14.051081392544154 14.896380645670673 2.7076582536792793e-38 153.0 -160.0 931.0 -33.875 -0.6875 -33.1875 0.0 0.0625 -0.125 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -7.0 3.0 -36.0 161.0 -160.0 953.0 2507 2675 1465 
14 0.9509279727935791 0.0782327651977539 12.782368071385905 14.722461007085153 2.7076582536792793e-38 160.0 -155.0 933.0 -33.875 -1.375 -34.875 -0.1875 0.0 0.0 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -1.0 4.0 -20.0 161.0 -160.0 953.0 2510 2680 1432 
15 1.0206587314605713 0.06973075866699219 14.340873656281627 14.696391200744321 2.7076582536792793e-38 156.0 -157.0 924.0 -33.5 0.0 -34.0 -0.125 0.0 -0.0625 342.6875 9.5 9.5 -0.0687255859375 -0.09454345703125 0.14923095703125 0.98187255859375 -5.0 2.0 -29.0 161.0 -160.0 953.0 2517 2672 1391 
